id;PartID;Contact1;Contact2;first;x1;y1;x2;y2;popx1;popy1;popx2;popy2;hint1;hint1 EN;hint1 UZ;hintX1;hintY1;hint2;hint2 EN;hint2 UZ;hintX2;hintY2;name;sliderX;sliderY;;;;SCALED_WIDTH из popbodypart.h;;;;;;;;;;
0;11;RT9;RT16;0;570;330;555;410;641;124;540;450;3a - электрод расположен в области  брюшка лучевого сгибателя запястья (venter m.flexor carpitis radialis), брюшка поверхностного сгибателя пальцев (m.digitorum superfacialis), брюшка глубокого сгибателя пальцев (venter m.flexor digitorum profundus) по средней линии на 2-3 см ниже локтевой ямки;3a - the electrode is located in the area of the abdomen of the radial flexor of the wrist (venter m.flexor carpitis radialis), the abdomen of the superficial flexor of the fingers (m.digitorum superfacialis), the abdomen of the deep flexor of the fingers (venter m.flexor digitorum profundus) below the ulnar fossa;3a - elektroddan foydalanish mohiyati radiyal qo'ldoshning (venter m.flexor carpitis radialis), qo'ldoshni yuzi to'qg'oship qo'ldoshni uchlabga keltiruvchi o'lchamlilardan (m.digitorum superfacialis), qo'ldoshni chuqurlashtiruvchi o'lchamlilardan (venter m.flexor digitorum profundus) markaziy chiziqda, qo'ynlarning 2-3 sm pastida joylashgan.;304;180;3b - электрод расположен на уровне перехода брюшка в сухожильную часть длинной ладонной мышцы (m.palmaris longus), лучевого сгибателя запястья (m.flexor carpi radialis), поверхностного сгибателя пальцев (m.digitorum superfacialis), брюшка  глубокого сгибателя пальцев (venter m.flexor digitorum profundus), локтевого сгибателя запястья (m.flexor carpi  ulnaris), по средней линии на 4 -4,5 см выше борозды лучезапястного сустава;3b - the electrode is located at the level of the abdominal transition to the tendon part of the long palmar muscle (m.palmaris longus), the radial flexor of the wrist (m.flexor carpi radialis), the superficial flexor of the fingers (m.digitorum superfacialis), the abdomen of the deep flexor of the fingers (venter m. flexor digitorum profundus), ulnar flexor of the wrist (m.flexor carpi ulnaris), along the middle line 4 -4.5 cm above the furrow of the wrist;3b - Elektrod past barmoqning uzatilish qismi (m.palmaris longus), radiusli barmoqning suhoyili qismi (m.flexor carpi radialis), barmoqning yuzma yuqori suhoyili qismi (m.digitorum superfacialis), qo'shni barmoqning ichki yuzining suhoyili qismi (venter m.flexor digitorum profundus), qo'shni qo'llashning uzatilish qismi (m.flexor carpi ulnaris) o'tish joyida, markaziy chiziq bo'yicha, luchezapast barmoqning suhoyili qismi yuzidan 4-4,5 sm yuqoriga joylashgan.;304;248;m.palmaris longus;;;;;;450;570;110;480;400;270;160;;;270;220
1;9;RT3;RT2;0;580;210;570;290;698;68;608;450;1a - электрод расположен на проксимальной части короткой головки  двуглавой мышцы плеча (caput breve m.bicepitis brachii) в месте ее перехода в сухожилие (tendo caput breve m.bicepitis brachii) по средней линии на 1 - 1,5 см ниже борозды, образованной дельтовидной мышцей и двуглавой мышцей плеча);1a - the electrode is located on the proximal part of the short head of the biceps brachii at the site of its transition to the tendon (breasts of the tendon caput breve m.bicepitis brachii) along the midline 1-1.5 cm below the furrow formed by the deltoid muscle and biceps arm muscle);1a - elektroddan foydalanish mohiyati qo'shma qo'ldoshning proksimal qismida (caput breve m.bicepitis brachii) uning tendoniga o'tkazilish joyi (tendo caput breve m.bicepitis brachii) markaziy chiziqda, deltoid va qo'shma qo'ldoshning yaratgan jarozasi (deltoid va qo'shma qo'ldosh) qo'shma qo'ldoshining 1-1,5 sm pastida joylashgan.;304;124;1b - электрод расположен на дистальной части брюшка двуглавой мышцы плеча ((venter) m.bicepitis brachii) в месте перехода ее в сухожилие (tendo m.bicepitis brachii) по средней линии на 1-1,5 см выше локтевой ямки (fossa cubitalis);1b - the electrode is located on the distal part of the abdomen of the biceps brachii) at the site of its passage into the tendon (tendo m.bicepitis brachii) along the middle line 1-1.5 cm above the fossa cubitalis (fossa cubitalis);1b - Elektrod quydirilishning uzatilish qismi (venter m.biceps brachii) uning suvchilikka o'tkazilgandagi suvchilik (tendo m.biceps brachii) markaziy chiziq bo'yicha, o'lta qo'llashning suvchiligi yuzidan 1-1,5 sm yuqoriga joylashgan (fossa cubitalis).;304;281;m.biceps brachii dextra;;;;;;400;620;60;540;400;270;110;;;270;250
2;15;RT1;RT6;0;570;175;660;190;506;191;855;326;2a - электрод расположен на дистальной части брюшка дельтовидной мышцы (venter m.deltoideus) по средней линии в фронтальной плоскости на 2-2,5 см выше ее дистальной части;2a - the electrode is located on the distal part of the abdomen of the deltoid muscle (venter m.deltoideus) along the midline in the frontal plane 2-2.5 cm above its distal part;2a - elektroddan foydalanish mohiyati deltoid o'lchamlarning distal qismida (venter m.deltoideus) markaziy chiziqda, unda markaziy o'lchamning 2-2,5 sm yuqorisida joylashgan.;304;90;2b - электрод расположен в области проксимальной части брюшка большой грудной мышцы (mm.pectoralis major), на 1-1,5 см ниже медиального края ключицы и на 1,1,5 кнаружи от правого латерального края грудины;2b - the electrode is located in the proximal part of the abdomen of the large pectoral muscle (mm.pectoralis major), 1-1.5 cm below the medial edge of the clavicle and 1,1,5 outside the right lateral margin of the sternum;2b - Elektrod katta chuchuk kasalligining quyidagi qismini (mm.pectoralis major), markaziy chiziqdan 1-1,5 sm pastda va o'ng tomonida 1,1,5 sm tashqarida joylashgan, markaziy chiziqdan.;304;360;anterior part m.deltoideus dextra;;;;;;;450;170;760;290;270;80;;;270;320
3;13;RT6;RT8;0;660;190;645;145;821;439;743;186;2b - электрод расположен в области проксимальной части брюшка большой грудной мышцы (mm.pectoralis major), на 1-1,5 см ниже медиального края ключицы и на 1,1,5 кнаружи от правого латерального края грудины;2b - the electrode is located in the proximal part of the abdomen of the large pectoral muscle (mm.pectoralis major), 1-1.5 cm below the medial edge of the clavicle and 1,1,5 outside the right lateral margin of the sternum;2b - elektroddan foydalanish mohiyati katta ko'krak qo'ldoshning (mm.pectoralis major) proksimal qismida, klyuchka mediastinaligi ortig'ida 1-1,5 sm pastda va o'ng yon shim tog'ining 1-1,5 sm chiqqan joyida joylashgan.;304;281;2с - электрод расположен в  верхней, воротниковой части трапециевидной мышцы (m.trapezius) паравертебрально на 2-3 см латеральнее;2c - the electrode is located in the upper, collar part of the trapezius muscle (m.trapezius) paravertebrally 2-3 cm lateral;2с - Elektrod kattalashtirilgan to'lqin kasalligining yuqori qismida (m.trapezius) paravertebral, markaziy chiziqdan 2-3 sm yon tomon joylashgan.;304;219;m.sternocleidomastoideus dextra;608;257;;;;;730;390;660;165;270;250;;;270;195
4;7;RT7;RB5;0;660;285;660;400;855;169;855;405;4a - электрод расположен в верхней части прямой мышцы живота (m.rectus abdominis) в области диафрагмы на 3-4 см ниже ее и на 1,5 - 2 см латеральнее средней линии живота;4a - the electrode is located in the upper part of the rectus abdominis muscle (m.rectus abdominis) in the diaphragm area 3-4 cm below it and 1.5 - 2 cm lateral to the midline of the abdomen;4a - elektroddan foydalanish mohiyati yelkasim o'lchamning yuqori qismida (m.rectus abdominis) diafragma maydonida, unda uning 3-4 sm pastida va yelkador chiziq maydonning 1,5-2 sm chap joylashgan.;304;203;4b - электрод расположен в  нижней части прямой мышцы живота (m.rectus abdominis)  на 2-3 см латеральнее средней линии живота и на 3-4 см выше горизонтальной линии, проведенной через верхние передние ости подвздошной кости (spina iliaca anteror superior dextra et sinistra);4b - the electrode is located at the bottom of the rectus abdominis muscle (m.rectus abdominis) 2-3 cm lateral to the midline of the abdomen and 3-4 cm above the horizontal line drawn through the superior anterior vertexes of the ilium (spina iliaca anteror superior dextra et sinistra);4b - Elektrod to'rtburchak kasalligining pastki qismida (m.rectus abdominis), yuzma yonidan 2-3 sm yon tomon joylashgan va yuqori old tomonida, past to'rtburchak kasalligining quyi orqa uchun chiziq (spina iliaca anteror superior dextra et sinistra) yordamida o'tkazilgan 3-4 sm yuqoriga joylashgan.;304;248;dextra part m.rectus abdominis;608;232;;;;;760;150;760;360;270;180;540;228;270;220
5;11;RT14;RT15;1;405;405;380;340;338;439;309;124;3d - электрод расположен  на уровне перехода брюшка в сухожильную часть локтевого разгибателя запястья  (m.extensor carpi ulnaris), лучевого разгибателя запястья (m.extensor carpi radialis), разгибателя пальцев (m.extensor digitorum) по средней линии на 3-4 см выше лучезапястного сустава;3d – the electrode is located at the level of the abdominal transition to the tendon part of the elbow extensor of the wrist (m.extensor carpi ulnaris), the radius of the extensor of the wrist (m.extensor carpi radialis), the extensor of the fingers (m.extensor digitorum) wrist joint;3d - elektroddan foydalanish mohiyati qo'shma qo'ldoshning tendoniga (m.extensor carpi ulnaris), radiyal qo'ldoshni uzatuvchisi (m.extensor carpi radialis), barmoq uzatuvchisini (m.extensor digitorum) markaziy chiziqda, radiyal qo'ldosh bo'ynida 3-4 sm yuqorisida joylashgan.;304;281;3c - электрод расположен в  области  брюшка локтевого разгибателя запястья (m.extensor carpi ulnaris), разгибателя пальцев (m.extensor digitorum)  по средней линии в 3-4 см ниже локтевого отростка;3c - the electrode is located in the abdomen of the elbow extensor of the wrist (m.extensor carpi ulnaris), the extensor of the fingers (m.extensor digitorum) along the midline 3-4 cm below the elbow;3c - Elektrod qo'shni qo'llashning uzatilish qismi (m.extensor carpi ulnaris), barmoqning uzatilish barmoqi (m.extensor digitorum) markaziy chiziq bo'yicha, luch to'rtburchak kasalligining uzatilish barmoqi yuzidan 3-4 sm pastda joylashgan.;304;158;m.extensor carpi ulnaris;;;;;;;300;390;275;110;270;250;540;206;270;140
6;9;RT4;RT13;1;380;290;370;210;338;484;242;73;1d - электрод расположен в области сухожилия трехглавой мышцы плеча (tendo m.tricepitis brachii) по средней линии на 2-3 см выше локтевого отростка;1d - the electrode is located in the tendon region of the triceps brachium muscle (tendo m.tricepitis brachii) along the midline 2-3 cm above the elbow process;1d - elektroddan foydalanish mohiyati qo'shma qo'ldoshni tendonida (tendo m.tricepitis brachii) markaziy chiziqda, qo'lni 2-3 sm yuqorisida joylashgan.;304;360;1c - электрод расположен в области брюшка длинной головки трехглавой мышцы плеча (caput longum m.tricepitis brachii) по средней линии, чуть кнутри на 1 - 1,5 см ниже борозды, образованной длинной головкой трехглавой мышцы плеча и задней частью дельтовидной мышцы;1c - the electrode is located in the abdomen of the long head of the triceps muscle of the shoulder (caput longum m.tricepitis brachii) along the middle line, slightly inside 1 to 1.5 cm below the furrow formed by the long head of the triceps brachii muscle and the posterior part of the deltoid muscle;1c - Elektrod quydirilishning uzun qismi (caput longum m.triceps brachii) markaziy chiziq bo'yicha, orqa tomon 1 - 1,5 sm pastda joylashgan, quydirilishning uzun qismi va orqa deltaliq kasalligining qo'llashining orasidan.;242;107;m.triceps brachii dextra;;;;;;;300;430;215;65;270;320;;;215;95
7;13;RT13;RT8;1;370;210;305;140;338;478;113;186;1c - электрод расположен в области брюшка длинной головки трехглавой мышцы плеча (caput longum m.tricepitis brachii) по средней линии, чуть кнутри на 1 - 1,5 см ниже борозды, образованной длинной головкой трехглавой мышцы плеча и задней частью дельтовидной мышцы;1c - the electrode is located in the abdomen of the long head of the triceps muscle of the shoulder (caput longum m.tricepitis brachii) along the middle line, slightly inside 1 to 1.5 cm below the furrow formed by the long head of the triceps brachii muscle and the posterior part of the deltoid muscle;1c - elektroddan foydalanish mohiyati qo'shma qo'ldoshning uzatuvchi barmoqning (caput longum m.tricepitis brachii) markaziy chiziqda, uzatilgan qo'ldoshning uzatuvchi barmoqi va orqasidagi deltoid jarozasi (caput longum m.tricepitis brachii) 1-1,5 sm pastda joylashgan.;304;309;2с - электрод расположен в  верхней, воротниковой части трапециевидной мышцы (m.trapezius) паравертебрально на 2-3 см латеральнее;2c - the electrode is located in the upper, collar part of the trapezius muscle (m.trapezius) paravertebrally 2-3 cm lateral;2с - Elektrod kattalashtirilgan to'lqin kasalligining yuqori qismida (m.trapezius) paravertebral, markaziy chiziqdan 2-3 sm yon tomon joylashgan.;113;219;m.trapezius dextra;;;;;;;300;425;100;165;270;275;;;100;195
8;13;RT8;RT10;1;305;140;300;215;113;186;56;439;2с - электрод расположен в  верхней, воротниковой части трапециевидной мышцы (m.trapezius) паравертебрально на 2-3 см латеральнее;2c - the electrode is located in the upper, collar part of the trapezius muscle (m.trapezius) paravertebrally 2-3 cm lateral;2с - elektroddan foydalanish mohiyati qo'ldosh va qo'shma qo'ldoshning uzatuvchi qismidagi trapez kasalligining (m.trapezius) yelka qismida, 2-3 sm yon tomon.;113;219;4c - электрод расположен паравертебрально в грудной области нижней части   трапециевидной мышцы (m.trapezius) и реберной части мышцы выпрямляющей позвоночник (m.erector spine) ее части: длиннейшей мышцы спины (m.longissimus) на 2-3 см правее;4c - the electrode is located paravertebrally in the thoracic region of the lower part of the trapezius muscle (m.trapezius) and the rib side of the muscle that straightens the spine (m.erector spine) of its part: the longest muscle of the back (m.longissimus) 2-3 cm to the right;4c - Elektrod paravertebral to'rtburchak kasalligining pastki qismida (m.trapezius) va qo'riq kasalligining pastki qismida poyvazhni o'ziga islohotlangan qismi (m.erector spine) uning uzun qismi (m.longissimus) o'ng tomonidan 2-3 sm joylashgan.;90;315;m.trapezius dextra;34;257;;;;;100;165;50;390;100;195;;;80;280
9;15;RT1;RT10;1;390;185;300;215;281;34;45;90;2a - электрод расположен на дистальной части брюшка дельтовидной мышцы (venter m.deltoideus) по средней линии в фронтальной плоскости на 2-2,5 см выше ее дистальной части;2a - the electrode is located on the distal part of the abdomen of the deltoid muscle (venter m.deltoideus) along the midline in the frontal plane 2-2.5 cm above its distal part;2a - elektroddan foydalanish mohiyati deltoid o'lchamlarning distal qismida (venter m.deltoideus) markaziy chiziqda, unda markaziy o'lchamning 2-2,5 sm yuqorisida joylashgan.;281;68;4c - электрод расположен паравертебрально в грудной области нижней части   трапециевидной мышцы (m.trapezius) и реберной части мышцы выпрямляющей позвоночник (m.erector spine) ее части: длиннейшей мышцы спины (m.longissimus) на 2-3 см правее;4c - the electrode is located paravertebrally in the thoracic region of the lower part of the trapezius muscle (m.trapezius) and the rib side of the muscle that straightens the spine (m.erector spine) of its part: the longest muscle of the back (m.longissimus) 2-3 cm to the right;4c - Elektrod paravertebral to'rtburchak kasalligining pastki qismida (m.trapezius) va qo'riq kasalligining pastki qismida poyvazhni o'ziga islohotlangan qismi (m.erector spine) uning uzun qismi (m.longissimus) o'ng tomonidan 2-3 sm joylashgan.;45;124;m.latissimus dorsi;79;79;;;;;250;30;40;80;250;60;30;228;40;110
10;7;RT10;RT11;1;300;215;295;295;56;79;56;236;4c - электрод расположен паравертебрально в грудной области нижней части   трапециевидной мышцы (m.trapezius) и реберной части мышцы выпрямляющей позвоночник (m.erector spine) ее части: длиннейшей мышцы спины (m.longissimus) на 2-3 см правее;4c - the electrode is located paravertebrally in the thoracic region of the lower part of the trapezius muscle (m.trapezius) and the rib side of the muscle that straightens the spine (m.erector spine) of its part: the longest muscle of the back (m.longissimus) 2-3 cm to the right;4c - elektroddan foydalanish mohiyati pastki qismida yotadigan trapez kasalligining (m.trapezius) yelka va orqasidagi poyabzalni qo'zg'aydigan o'rta barmoqning (m.erector spine) u qismidagi: uzunish yo'lak kasalligini (m.longissimus) 2-3 sm o'ngda joylashgan.;56;113;4d - электрод расположен в области поясничной части мышцы выпрямляющей позвоночник (m.erector spine), ее части: длиннейшей мышцы спины (m.longissimus), подвздошнореберной мышцы(m.iliocostalis) павертебрально на 3-4 см латеральнее уровне LII -LIII;4d - the electrode is located in the region of the lumbar part of the muscle that straightens the spine (m.erector spine), its parts: the longest muscle of the back (m.longissimus), the iliacus muscle (m.iliocostalis), pavertebrally 3-4 cm lateral to level LII-LIII;4d - Elektrod quydirilishning pastki qismi (m.erector spine), uning uzun qismi (m.longissimus), poyvazhni kabobli kasalligining pastki qismi (m.iliocostalis) paravertebral, LII-LIII darajada 3-4 sm yon tomon joylashgan.;90;203;m.erector spine dextra;34;102;;;;;50;70;50;210;50;100;70;70;80;180
11;7;RT11;RB8;1;295;295;290;380;56;236;56;439;4d - электрод расположен в области поясничной части мышцы выпрямляющей позвоночник (m.erector spine), ее части: длиннейшей мышцы спины (m.longissimus), подвздошнореберной мышцы(m.iliocostalis) павертебрально на 3-4 см латеральнее уровне LII -LIII;4d - the electrode is located in the region of the lumbar part of the muscle that straightens the spine (m.erector spine), its parts: the longest muscle of the back (m.longissimus), the iliacus muscle (m.iliocostalis), pavertebrally 3-4 cm lateral to level LII-LIII;4d - elektroddan foydalanish mohiyati poyabzalni qo'zg'aydigan o'rta barmoqning (m.erector spine), u qismidagi: uzunish yo'lak kasalligini (m.longissimus), qoshamio'rbo'yoqli kasalligini (m.iliocostalis) poyabzalda, LII -LIII darajasining 3-4 sm yon tomon joylashgan.;90;203;5c - электрод расположен в области крепления большой ягодичной мышцы (m.gluteus maximus) к гребню подвздошной кости на 2 - 3 см латеральнее средней линии тела;5c - the electrode is located in the area of attachment of the gluteus maximus (m.gluteus maximus) to the crest of the ilium 2 to 3 cm lateral to the midline of the body;5c - Elektrod katta yovuz kasalligining yuqori qismida (m.gluteus maximus) markaziy chiziqdan 2 - 3 sm yon tomon joylashgan.;90;360;m.erector spine dextra;34;282;;;;;50;210;50;390;80;180;30;91;80;320
