id;PartID;Contact1;Contact2;first;x1;y1;x2;y2;popx1;popy1;popx2;popy2;hint1;hint1 EN;hint1 UZ;hintX1;hintY1;hint2;hint2 EN;hint2 UZ;hintX2;hintY2;name;sliderX;sliderY;;;;SCALED_WIDTH из popbodypart.h;;;;;;;;;;
24;3;RB6;RB16;0;615;400;635;530;743;68;776;484;5a - электрод расположен в  месте крепления портняжной мышцы бедра (m.sartorius) к  верхней передней ости подвздошной кости справа (spina iliaca anteror superior dextra) ниже на 2 см  и в области крепления четырехглавой мышцы бедра (m.quadriceps femoris, m.rectus femoris) к нижней передней ости подвздошной кости справа (spina iliaca anteror inferior dextra);5a - the electrode is located at the point of attachment of the sartorius muscle of the femur (m.sartorius) to the superior anterior superiority of the ilium on the right (spina iliaca anteror superior dextra) 2 cm below and in the area of the quadriceps femoris (m.quadriceps femoris, m.rectus femoris ) to the inferior anterior asteroid iliac bones on the right (spina iliaca anteror inferior dextra);5a - elektroddan foydalanish mohiyati butning teri (m.sartorius) yuqori oldingi iliak kismiga (spina iliaca anteror superior dextra) o'ng tomondan bog'lab, qo'shni qiymalashtiruvchi barmoqi (m.quadriceps femoris, m.rectus femoris) yuqori oldingi iliak kismiga (spina iliaca anteror inferior dextra) 2 sm pastda joylashgan.;304;101;7b - электрод расположен в месте перехода дистальной  части брюшков четырехглавой мышцы бедра (m.quadriceps femoris) в сухожилие по средней линии выше надколенника на 1/3 длины бедра;7b - the electrode is located at the junction of the distal part of the abdomen of the quadriceps femoris (m.quadriceps femoris) in the tendon at the midline above the patella by 1/3 of the thigh length;7b - Elektrod markaziy chiziq bo'yicha, uchburchak to'rtburchak kasalligining pastki qismidan yuqori yoritilish qismiga o'tkazilgandagi o'tkazish joyida (m.quadriceps femoris), butun uzunligining 1/3 qismida.;304;304;m.quadriceps femoris, m.rectus femoris dextra;;;;;;;660;60;690;430;270;90;;;270;270
25;17;RB2;RB11;0;600;525;650;620;731;304;844;484;7a - электрод расположен на  верхней трети латерально-дорсальной части бедра на латеральной широкой мышце бедра (m.vastus lateralis);7a - the electrode is located on the upper third of the lateral-dorsal part of the femur on the lateral wide femoral muscle (m.vastus lateralis);7a - elektroddan foydalanish mohiyati butning yon-dorsoqli qismini yuqori uchlikda joylashgan, yon oq ko'kraq qo'ldoshi (m.vastus lateralis)da.;304;169;6b - электрод расположен в области крепления большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности нижней части бедра на 3- 4  см выше медиального мыщелка бедренной кости (epicondylus medialis);6b - the electrode is located in the area of attachment of the large adductor muscle of the thigh (venter m.adductor magnus) from the inner surface of the lower part of the thigh 3 to 4 cm above the medial femoral condyle (epicondylus medialis);6b - Elektrod katta ichki kasalligining kamchiq chizig'iga (venter m.adductor magnus) ichki tarafdan past qismida, qo'rg'oshining ichki tarafidan 3-4 sm yuqori, butun ichki kasalligining maydalashish joyidan (epicondylus medialis).;304;360;m.vastus lateralis dextra;608;339;;;;;650;270;750;430;270;150;;;270;320
26;5;RB12;RB11;0;665;500;650;620;855;214;844;473;6a - электрод расположен в области брюшка большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности бедра на 3 см латеральнее и ниже лобковой кости;6a - the electrode is located in the abdomen of the large femoral muscle (venter m.adductor magnus) from the inner surface of the thigh 3 cm lateral and below the pubic bone;6a - elektroddan foydalanish mohiyati qo'shni kasalligini (venter m.adductor magnus) ichki yuzidan 3 sm yon tomon va erta suzgan kemik pastida joylashgan.;304;113;6b - электрод расположен в области крепления большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности нижней части бедра на 3- 4  см выше медиального мыщелка бедренной кости (epicondylus medialis);6b - the electrode is located in the area of attachment of the large adductor muscle of the thigh (venter m.adductor magnus) from the inner surface of the lower part of the thigh 3 to 4 cm above the medial femoral condyle (epicondylus medialis);6b - Elektrod katta ichki kasalligining kamchiq chizig'iga (venter m.adductor magnus) ichki tarafdan past qismida, qo'rg'oshining ichki tarafidan 3-4 sm yuqori, butun ichki kasalligining maydalashish joyidan (epicondylus medialis).;304;338;m.adductor longus femorale dextra;608;288;;;;;760;190;750;420;270;100;540;301;270;300
27;1;RB9;RB10;0;610;700;625;805;596;68;630;405;8a - электрод расположен  на брюшке передней большеберцовой мышцы (venter m.tibialis anterior) на 1 - 1,5 см латеральнее средней линии голени и на 2 - 3 см ниже надколенника;8a - the electrode is located on the abdomen of the anterior tibial muscle (venter m.tibialis anterior) 1 to 1.5 cm lateral to the midline of the tibia and 2 to 3 cm below the patella;8a - elektroddan foydalanish mohiyati oldingi tibbiy yelkada (venter m.tibialis anterior) o'rta chiziqdan 1-1,5 sm yon tomon, va nizdoshqadamdan 2-3 sm pastda joylashgan.;304;101;8b - электрод расположен  в  месте перехода дистальной части передней большеберцовой мышцы (m.tibialis anterior) в сухожилие в нижней 1/3 голени по средней линии;8b - the electrode is located at the junction of the distal part of the anterior tibialis muscle (m.tibialis anterior) in the tendon in the lower 1/3 tibia along the midline;8b - Elektrod quydirilishning pastki qismi (m.tibialis anterior) suvchilikning uzun qismidan suvchilikka o'tkazilgandagi o'tkazish joyida, ostki yoritilishning 1/3 qismida markaziy chiziq bo'yicha joylashgan.;304;304;m.tibialis anterior;;;;;;;530;60;560;360;270;90;540;256;270;270
28;17;RB8;RB3;1;290;380;355;485;56;56;315;450;5c - электрод расположен в области крепления большой ягодичной мышцы (m.gluteus maximus) к гребню подвздошной кости на 2 - 3 см латеральнее средней линии тела;5c - the electrode is located in the area of attachment of the gluteus maximus (m.gluteus maximus) to the crest of the ilium 2 to 3 cm lateral to the midline of the body;5c - elektroddan foydalanish mohiyati yuqori yelkasim kasalligini (m.gluteus maximus) ichki sochining ortidan 2-3 sm yon tomon joylashgan.;56;90;6d - электрод расположен в области крепления сухожилия средней ягодичной мышцы (tendo m.glutei medii) к большому вертелу бедренной кости (trochanter major);6d - the electrode is located in the area of attachment of the tendon of the middle gluteus muscle (tendo m.glutei medii) to the large trochanter major (trochanter major);6d - Elektrod markaziy chiziq bo'yicha, o'rtacha yovuz kasalligining suvchilikga o'tkazilgandagi joyiga (tendo m.glutei medii) butun vertekal yuqori tomonidan joylashgan (trochanter major).;304;315;m.gluteus maximus dextra;;;;;;;50;50;280;400;50;80;;;270;280
29;5;RB7;RB1;1;320;375;305;500;225;68;158;439;6c - электрод расположен в месте крепления средней ягодичной мышцы (m.gluteus medius) к подвздошной кости по средней линии латеральной поверхности бедра на 2 - 3 см ниже гребня подвздошной кости;6c - the electrode is located at the site of attachment of the middle gluteus muscle (m.gluteus medius) to the ilium along the midline of the lateral surface of the thigh 2 to 3 cm below the crest of the ilium;6c - elektroddan foydalanish mohiyati o'rtacha yelkasim kasalligini (m.gluteus medius) o'ng tomonli yon chizigi osti qismida, sochining crestasidan 2-3 sm pastda joylashgan.;225;101;7c - электрод расположен в области брюшка длинной головки двуглавой мышцы бедра (venter caput longum m.biceps femori), брюшка полусухожильной мышцы (venter m.semitendinosus) на 2 - 3 см ниже ягодичной складки;7c - the electrode is located in the abdomen of the long head of the biceps femoris (venter caput longum m.biceps femori), the abdomen of the semitendinous muscle (venter m.semitendinosus) 2 to 3 cm below the gluteus fold;7c - Elektrod quydirilishning uzun qismi (venter caput longum m.biceps femoris), yorug'lik kasalligining qo'shni suvchilik kasalligining uzun qismi (venter m.semitendinosus) to'rtburchak kasalligining pastki qismi bilan yuqori ichki qo'llashning kesishma joyidan 2 - 3 sm pastda joylashgan.;180;326;m.gluteus medius dextra;;;;;;;200;60;140;390;200;90;;;160;290
30;3;RB1;RB13;1;305;500;320;625;56;56;90;450;7c - электрод расположен в области брюшка длинной головки двуглавой мышцы бедра (venter caput longum m.biceps femori), брюшка полусухожильной мышцы (venter m.semitendinosus) на 2 - 3 см ниже ягодичной складки;7c - the electrode is located in the abdomen of the long head of the biceps femoris (venter caput longum m.biceps femori), the abdomen of the semitendinous muscle (venter m.semitendinosus) 2 to 3 cm below the gluteus fold;7c - elektroddan foydalanish mohiyati uzatilgan butning uzun yelkasi barmoqning (venter caput longum m.biceps femori), yarim-yonarq qo'shni barmoqi (venter m.semitendinosus) ichki qo'shni qavati pastida, yag'oya yozuvi ostidan 2-3 sm pastda joylashgan.;56;90;7d - электрод расположен в месте проксимального перехода брюшка в сухожилие двуглавой мышцы бедра (caput longum m.biceps femori), полусухожильной мышцы (m.semitendinosus) по средней линии на 4-5 см выше подколенной ямки (fossa poplitea);7d - the electrode is located at the site of the proximal abdominal transition in the tendon of the biceps femoris (caput longum m.biceps femori), the semitendinous muscle (m.semitendinosus) along the midline 4-5 cm above the popliteal fossa (fossa poplitea);7d - Elektrod yovuz kasalligining uzatilish qismi (caput longum m.biceps femoris), qo'shni suvchilikning uzatilish qismi (m.semitendinosus) markaziy chiziq bo'yicha, past qo'riq qismidan 4-5 sm yuqoriga joylashgan (fossa poplitea).;90;315;caput longum m.biceps femori;34;198;;;;;50;50;80;400;50;80;30;176;80;280
31;1;RB14;RB15;1;320;670;320;805;248;73;236;394;8c - электрод расположен в области образования икроножной мышцы голени (m.gasrocnemius) на 3 - 4 см ниже подколенной ямки (fossa poplitea);8c - the electrode is located in the region of the gastrocnemius muscle of the lower leg (m.gasrocnemius) 3 to 4 cm below the popliteal fossa (fossa poplitea);8c - elektroddan foydalanish mohiyati yelkasim kasalligini (m.gastrocnemius) shaklga kelgan joyida, pastki oyoq yopg'oni (fossa poplitea) ostidan 3-4 sm pastda joylashgan.;248;107;8d - электрод расположен в месте перехода брюшка трехглавой мышцы голени (m.triceps surae) в ахиллово сухожилие (tendo calcaneus (Achillis) нижняя 1/3 голени;8d - the electrode is located at the abdominal transection of the triceps muscles of the tibia (m.triceps surae) in the Achilles tendon (tendillum calcaneus (Achillis), lower 1/3 tibia;8d - Elektrod suvchilikning uchburchak to'rtburchak kasalligining pastki qismidan (m.triceps surae) achil sivishiga o'tkazilgandagi joyida (tendo calcaneus (Achillis)), pastki suvchilikning 1/3 qismida joylashgan.;236;293;m.triceps surae dextra;;;;;;;220;65;210;350;220;95;;;210;260
32;2;LB11;LB1;0;745;400;730;530;596;68;574;484;5a - электрод расположен в  месте крепления портняжной мышцы бедра (m.sartorius) к  верхней передней ости подвздошной кости слева (spina iliaca anteror superior sinistra) ниже на 2 см  и в области крепления четырехглавой мышцы бедра (m.quadriceps femoris, m.rectus femoris) к нижней передней ости подвздошной кости справа (spina iliaca anteror inferior sinistra);5a - the electrode is located at the point of attachment of the sartorius muscle of the femur (m.sartorius) to the superior anterior superiority of the ilium on the right (spina iliaca anteror superior dextra) 2 cm below and in the area of the quadriceps femoris (m.quadriceps femoris, m.rectus femoris ) to the inferior anterior asteroid iliac bones on the right (spina iliaca anteror inferior et sinistra);5a - elektroddan foydalanish mohiyati butning teri (m.sartorius) yuqori oldingi iliak kismiga (spina iliaca anteror superior sinistra) chap tomondan bog'lab, qo'shni qiymalashtiruvchi barmoqi (m.quadriceps femoris, m.rectus femoris) yuqori oldingi iliak kismiga (spina iliaca anteror inferior sinistra) o'ng tomondan bog'lab, 2 sm pastda joylashgan.;304;101;7b - электрод расположен в месте перехода дистальной  части брюшков четырехглавой мышцы бедра (m.quadriceps femoris) в сухожилие по средней линии выше надколенника на 1/3 длины бедра;7b - the electrode is located at the junction of the distal part of the abdomen of the quadriceps femoris (m.quadriceps femoris) in the tendon at the midline above the patella by 1/3 of the thigh length;7b - Elektrod markaziy chiziq bo'yicha, uchburchak to'rtburchak kasalligining pastki qismidan yuqori yoritilish qismiga o'tkazilgandagi joyida (m.quadriceps femoris), butun uzunligining 1/3 qismida.;304;304;m.quadriceps femoris, m.rectus femoris sinistra;;;;;;;530;60;510;430;270;90;;;270;270
33;4;LB5;LB6;0;690;500;705;620;495;214;506;473;6a - электрод расположен в области брюшка большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности бедра на 3 см латеральнее и ниже лобковой кости;6a - the electrode is located in the abdomen of the large femoral muscle (venter m.adductor magnus) from the inner surface of the thigh 3 cm lateral and below the pubic bone;6a - elektroddan foydalanish mohiyati qo'shni kasalligini (venter m.adductor magnus) ichki yuzidan 3 sm yon tomon va erta suzgan kemik pastida joylashgan.;304;248;6b - электрод расположен в области крепления большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности нижней части бедра на 3- 4  см выше медиального мыщелка бедренной кости (epicondylus medialis);6b - the electrode is located in the area of attachment of the large adductor muscle of the thigh (venter m.adductor magnus) from the inner surface of the lower part of the thigh 3 to 4 cm above the medial femoral condyle (epicondylus medialis);6b - Elektrod katta ichki kasalligining kamchiq chizig'iga (venter m.adductor magnus) ichki tarafdan past qismida, qo'rg'oshining ichki tarafdan 3-4 sm yuqori, butun ichki kasalligining maydalashish joyidan (epicondylus medialis).;304;338;m.adductor longus femorale sinistra;;;;;;;440;190;450;420;270;220;;;270;300
34;16;LB6;LB15;0;705;620;760;525;506;484;624;304;6b - электрод расположен в области крепления большой приводящей мышцы бедра (venter m.adductor magnus) с внутренней поверхности нижней части бедра на 3- 4  см выше медиального мыщелка бедренной кости (epicondylus medialis);6b - the electrode is located in the area of attachment of the large adductor muscle of the thigh (venter m.adductor magnus) from the inner surface of the lower part of the thigh 3 to 4 cm above the medial femoral condyle (epicondylus medialis);6b - elektroddan foydalanish mohiyati qo'shni kasalligini (venter m.adductor magnus) ichki yuzidan pastki oyoqning yuqori qismiga 3-4 sm pastda, kemalari markazidan 3-4 sm yuqori joylashgan.;304;360;7a - электрод расположен на  верхней трети латерально-дорсальной части бедра на латеральной широкой мышце бедра (m.vastus lateralis);7a - the electrode is located on the upper third of the lateral-dorsal part of the femur on the lateral wide femoral muscle (m.vastus lateralis);7a - Elektrod yuqori uchtomlig'ining shimoliy orqa qismida, shimoliy keng to'rtburchak kasalligining yuqori qismida (m.vastus lateralis).;304;169;m.vastus lateralis sinistra;;;;;;;450;430;555;270;270;320;;;270;150
35;0;LB7;LB8;0;730;805;750;700;675;405;709;68;8b - электрод расположен  в  месте перехода дистальной части передней большеберцовой мышцы (m.tibialis anterior) в сухожилие в нижней 1/3 голени по средней линии;8b - the electrode is located at the junction of the distal part of the anterior tibialis muscle (m.tibialis anterior) in the tendon in the lower 1/3 tibia along the midline;8b - elektroddan foydalanish mohiyati oldingi tibbiy yelkani (m.tibialis anterior) poyabzalga o'tish joyida, pastki oyoqning 1/3 qismidan, markaziy chiziq bo'yicha joylashgan.;304;304;8a - электрод расположен  на брюшке передней большеберцовой мышцы (venter m.tibialis anterior) на 1 - 1,5 см латеральнее средней линии голени и на 2 - 3 см ниже надколенника;8a - the electrode is located on the abdomen of the anterior tibial muscle (venter m.tibialis anterior) 1 to 1.5 cm lateral to the midline of the tibia and 2 to 3 cm below the patella;8a - Elektrod old yorug'lig'ining kamchiq chizig'ida (venter m.tibialis anterior), butun ichki kasalligining markaziy chiziqdan 1 - 1,5 sm yon tomon joylashgan, quydirilishning markaziy chiziqdan esa 2 - 3 sm pastda joylashgan.;304;101;m.tibialis anterior;;;;;;;600;360;630;60;270;270;;;270;90
36;16;LB9;LB14;1;250;380;190;485;371;56;101;450;5c - электрод расположен в области крепления большой ягодичной мышцы (m.gluteus maximus) к гребню подвздошной кости на 2 - 3 см латеральнее средней линии тела;5c - the electrode is located in the area of attachment of the gluteus maximus (m.gluteus maximus) to the crest of the ilium 2 to 3 cm lateral to the midline of the body;5c - elektroddan foydalanish mohiyati yuqori yelkasim kasalligini (m.gluteus maximus) ichki sochining ortidan 2-3 sm yon tomon joylashgan.;304;90;6d - электрод расположен в области крепления сухожилия средней ягодичной мышцы (tendo m.glutei medii) к большому вертелу бедренной кости (trochanter major);6d - the electrode is located in the area of attachment of the tendon of the middle gluteus muscle (tendo m.glutei medii) to the large trochanter major (trochanter major);6d - Elektrod markaziy chiziq bo'yicha, o'rtacha yovuz kasalligining suvchilikga o'tkazilgandagi joyiga (tendo m.glutei medii) butun vertekal yuqori tomonidan joylashgan (trochanter major).;101;338;m.gluteus maximus sinistra;;;;;;;330;50;90;400;270;80;;;90;300
37;4;LB10;LB16;1;220;375;240;500;191;56;248;461;6c - электрод расположен в месте крепления средней ягодичной мышцы (m.gluteus medius) к подвздошной кости по средней линии латеральной поверхности бедра на 2 - 3 см ниже гребня подвздошной кости;6c - the electrode is located at the site of attachment of the middle gluteus muscle (m.gluteus medius) to the ilium along the midline of the lateral surface of the thigh 2 to 3 cm below the crest of the ilium;6c - elektroddan foydalanish mohiyati o'rtacha yelkasim kasalligini (m.gluteus medius) ichki sochining crestasidan 2-3 sm pastda, yon yelkasimning markaziy chiziq bo'yicha joylashgan.;191;90;7c - электрод расположен в области брюшка длинной головки двуглавой мышцы бедра (venter caput longum m.biceps femori), брюшка полусухожильной мышцы (venter m.semitendinosus) на 2 - 3 см ниже ягодичной складки;7c - the electrode is located in the abdomen of the long head of the biceps femoris (venter caput longum m.biceps femori), the abdomen of the semitendinous muscle (venter m.semitendinosus) 2 to 3 cm below the gluteus fold;7c - Elektrod quydirilishning uzun qismi (venter caput longum m.biceps femori), qo'shni suvchilikning uzatilish qismi (venter m.semitendinosus), yuqori ichki qo'llashning kesishma joyidan 2 - 3 sm pastda joylashgan.;248;315;m.gluteus medius sinistra;;;;;;;170;50;220;410;170;80;;;220;280
38;2;LB16;LB4;1;240;500;220;625;338;56;349;450;7c - электрод расположен в области брюшка длинной головки двуглавой мышцы бедра (venter caput longum m.biceps femori), брюшка полусухожильной мышцы (venter m.semitendinosus) на 2 - 3 см ниже ягодичной складки;7c - the electrode is located in the abdomen of the long head of the biceps femoris (venter caput longum m.biceps femori), the abdomen of the semitendinous muscle (venter m.semitendinosus) 2 to 3 cm below the gluteus fold;7c - elektroddan foydalanish mohiyati uzatilgan butning uzun yelkasi barmoqning (venter caput longum m.biceps femori), yarim-yonarq qo'shni barmoqi (venter m.semitendinosus) ichki qo'shni qavati pastida, yag'oya yozuvi ostidan 2-3 sm pastda joylashgan.;304;90;7d - электрод расположен в месте проксимального перехода брюшка в сухожилие двуглавой мышцы бедра (caput longum m.biceps femori), полусухожильной мышцы (m.semitendinosus) по средней линии на 4-5 см выше подколенной ямки (fossa poplitea);7d - the electrode is located at the site of the proximal abdominal transition in the tendon of the biceps femoris (caput longum m.biceps femori), the semitendinous muscle (m.semitendinosus) along the midline 4-5 cm above the popliteal fossa (fossa poplitea);7d - Elektrod yovuz kasalligining uzatilish qismi (caput longum m.biceps femoris), qo'shni suvchilikning uzatilish qismi (m.semitendinosus) markaziy chiziq bo'yicha, past qo'riq qismidan 4-5 sm yuqoriga joylashgan (fossa poplitea).;304;315;caput longum m.biceps femori;;;;;;;300;50;310;400;270;80;;;270;280
39;0;LB3;LB2;1;225;670;225;805;242;73;259;394;8c - электрод расположен в области образования икроножной мышцы голени (m.gasrocnemius) на 3 - 4 см ниже подколенной ямки (fossa poplitea);8c - the electrode is located in the region of the gastrocnemius muscle of the lower leg (m.gasrocnemius) 3 to 4 cm below the popliteal fossa (fossa poplitea);8c - elektroddan foydalanish mohiyati yelkasim kasalligini (m.gastrocnemius) shaklga kelgan joyida, pastki oyoq yopg'oni (fossa poplitea) ostidan 3-4 sm pastda joylashgan.;242;107;8d - электрод расположен в месте перехода брюшка трехглавой мышцы голени (m.triceps surae) в ахиллово сухожилие (tendo calcaneus (Achillis) нижняя 1/3 голени;8d - the electrode is located at the abdominal transection of the triceps muscles of the tibia (m.triceps surae) in the Achilles tendon (tendillum calcaneus (Achillis), lower 1/3 tibia;8d - Elektrod suvchilikning uchburchak to'rtburchak kasalligining pastki qismidan (m.triceps surae) achil sivishiga o'tkazilgandagi joyida (tendo calcaneus (Achillis)), pastki suvchilikning 1/3 qismida joylashgan.;259;293;m.triceps surae sinistra;;;;;;;215;65;230;350;215;95;;;230;260
